Destination,Year,Origin,Migration,Population: Destination,Population: Origin,Euclidean Distance,Per cap per inc: Destination,Total Employment: Destination,Per cap per inc: Origin,Total Employment: Origin
Alabama,2016,Texas,7689,4866824,27914064,12.5925259082707,39509,2619796,45803,16685139
Alabama,2016,Utah,525,4866824,3044241,25.6946488672117,39509,2619796,42342,1933422
Alabama,2016,Vermont,0,4866824,624366,18.1109646138954,39509,2619796,50363,433924
Alabama,2016,Virginia,3535,4866824,8417651,9.24245058021394,39509,2619796,53744,5142712
Alabama,2016,Washington,677,4866824,7299961,36.6310897003859,39509,2619796,55762,4310119
Alabama,2016,West Virginia,42,4866824,1832435,8.53620314180072,39509,2619796,37070,890105
Alabama,2016,Wisconsin,874,4866824,5775170,12.2642896797812,39509,2619796,47577,3658030
Alabama,2016,Wyoming,539,4866824,585243,23.1015547725307,39509,2619796,54073,398271
Alabama,2017,Arizona,1513,4877989,7048088,24.8817408146662,41000,2649260,42566,3740960
Alabama,2017,Arkansas,517,4877989,3003855,5.99456062204918,41000,2649260,41622,1640411
Alabama,2017,California,2328,4877989,39337785,33.0855664512805,41000,2649260,60581,23538609
Alabama,2017,Colorado,1974,4877989,5617421,19.7223165819368,41000,2649260,55550,3759409
Alabama,2017,Connecticut,336,4877989,3575324,16.6389979271702,41000,2649260,71699,2300325
